Dia de circo;dia_de_circo;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.251kb;01:20;
Ploquet Pluft Nhoque;ploquet_pluft_nhoque;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.462kb;01:34;
Pomar;pomar;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.523kb;02:41;
Se eu fosse um peixinho;se_eu_fosse_um_peixinho;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.380kb;02:32;
Senhor caçador;senhor_cacador;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.380kb;01:28;
Ta na hora de mamar;ta_na_hora_de_mamar;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.509kb;01:47;
A bola;a_bola;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.633kb;02:48;
A casinha da vovó;a_casinha_da_vovo;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.432kb;01:32;
Anel de pedra verde;anel_de_pedra_verde;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.055kb;01:07;
Caranguejo;caranguejo;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.364kb;01:27;
Ciranda Cirandinha;ciranda_cirandinha;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.091kb;01:10;
Corre cutia;corre_cutia;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.144kb;01:13;
O cravo brigou com a rosa;o_cravo_brigou_com_a_rosa;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.691kb;01:48;
O doce perguntou pro doce;o_doce_perguntou_pro_doce;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.933kb;02:03;
O pintor de Jundiaí;o_pintor_de_jundiai;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.849kb;01:58;
O sapo não lava o pé;o_sapo_nao_lava_o_pe;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.251kb;01:20;
Passa anel;passa_anel;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.288kb;01:22;
Piaba;piaba;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.532kb;01:38;
Sereia;sereia;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.266kb;02:25;
Tangolomango;tangolomango;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.028kb;02:09;
A canoa virou;a_canoa_virou;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.906kb;02:02;
Abra a roda;abra_a_roda;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;2.584kb;02:45;
Alecrim;alecrim;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.937kb;02:04;
Bambu;bambu;21 - Projeto Buriti Mirim;269 - Projeto Buriti Mirim;5 - au - Áudio;0 - novo;5 - áudio;0 - Não;0 - Não;;;1.962kb;02:06;
