Disciplina;titulo;taxonomia;tema;descricao;keywords
Biologia;Duplicação do DNA;ARbio9_un01an_DNA.mp4;Genética;Animação 3D que mostra as etapas de duplicação de um trecho de molécula de DNA.;duplicação, DNA, dupla,fita, nucleotídeos, adenina, timina,citosina, guanina
Biologia;Estrutura e função da membrana plasmática;ARbio9_un01an_transporte.mp4;Biologia celular;Animação sobre a membrana plasmática explicando sua estrutura e principais funções.;modelo, mosaico fluido, membrana plasmática, fosfolipídio, bicamada, proteínas de membrana, transporte de substâncias,
Biologia;Fotossíntese;ARbio9_un01an_fotossintese.mp4;Metabolismo celular;Animação sobre a fotossíntes, explicando detalhadamente as etapas fotoquímica  e química desse processo.;fotossíntese, cloroplasto, tilacóide, etapa fotoquímica, etapa química, água, gás carbônico
Biologia;Respiração celular;ARbio9_un01an_respiracao_celular.mp4;Metabolismo celular;Animação sobre a respiração celular que explica detalhadamente as etapas desse processo.;mitocôndria, respiração celular, ATP, glicose, citoplasma, ciclo de Krebs, NAD, FAD
Biologia;Teorias da evolução;ARbio9_un02an_teorias_evolucao.mp4;Evolução;Audiovisual que explica as principais teorias sobre a evolução dos seres vivos.;teorias, evolução, criacionismo, fixismo, uso e desuso, seleção natural, Darwin, darwinismo, Lamarck, lamarckismo
Biologia;Especiação;ARbio9_un02an_especiacao.mp4;Evolução;Animação explicando o processo um dos processos de especiação a partir de um exemplo fictício.;especiação, isolamento geográfico, isolamento reprodutivo, barreira geográfica, irradiação adaptativa, características adaptativas, seleção natural
Biologia;Simulação do cruzamento de ervilhas;/simulacao-cruzamento;Genética;Simulação do cruzamento entre ervilheiras (cujas sementes são as ervilhas), permitindo o estudo da hereditariedade de diversas características dessa planta, com base nos estudos de Mendel.;quadro de Punnet, ervilhas, Mendel, primeira lei, segunda lei, fenótipo, genótipo, cruzamento, probabilidade
Biologia;Fluxo de energia na cadeia alimentar;ARbio9_un03an_cadeia_alimentar.mp4;Ecologia;Animação apresentando o fluxo de energia nas cadeias alimentares, partindo da captação da energia solar pelas plantas para transferência de energia para os demais níveis tróficos.;fluxo de energia, energia, cadeia alimentar, autotrófico, produtor, consumidor, decompositor, pirâmide de energia, nível trófico
Biologia;Gráficos de controle populacional;/grafico-controle;Ecologia;Série de gráficos representando os fatores pelos quais o tamanho de uma população pode variar.;natalidade, migração, reprodução, resistência ao meio, predação, competição, mortalidade, imigração, emigração, potencial biótico, capacidade limite, nicho ecológico
Biologia;Gametogênese humana;ARbio9_un04an_gametogenese.mp4;Reprodução humana;Animação que explica, passo a passo, a formação dos gametas feminino e masculino na espécie humana.;ovulogênese, gametas, ovócito, folículo ovariano, menstruação, hormônio, útero, ovulação, óvulo, fecundação, zigoto, espermatozoide, espermatogênese, testículo, túbulo seminífero, espermátide, epidídimo
Biologia;Ciclo menstrual;ARbio9_un04an_menstrual.mp4;Reprodução humana;Animação que mostra a variação dos hormônios ao longo do ciclo menstrual.;menstruação, hormônio, endométrio, folículo ovariano, corpo amarelo, corpo lúteo, ovário, progesterona
Ciências;Cadeia alimentar;ARcie6_un01an_alimentar.mp4;Ecologia;Animação que explica os conceitos de cadeias e teias alimentares, níveis tróficos e decomposição, apresentando exemplos.;cadeia alimentar, interação, produtor, consumidor primário, consumidor secundário, consumidor terciário, decompositor, teia alimentar, ecossistema
Ciências;Revisão da unidade 1;/cie_revisao6_un1;Ecologia;Atividades interativas de revisão.;questão,  atividade, exercício, revisão, ser vivo, ecossistema, cadeia alimentar, adaptação
Ciências;Xerófitas;ARcie6_un02an_xerofitas.mp4;Ecologia;Sequência de imagens com locução explicando o que são as xerófitas e quais são seus mecanismos de adaptação à aridez. São apresentadas espécies brasileiras e de outras regiões do mundo, assim como suas principais características e usos pelo ser humano.;adaptação, ambiente, xerófitas, Caatinga, deserto, aridez, ambiente seco, retenção de água
Ciências;Revisão da unidade 2;/cie_revisao6_un2;Ecologia;Atividades interativas de revisão.;questão,  atividade, exercício, revisão, bioma, biosfera
Ciências;Parques nacionais;/parquesnacionais;Bioma;Mapa interativo que apresenta fotografias e informações básicas de todos os parques nacionais abertos à visitação no Brasil (até 2014), além de algumas dicas de turismo consciente.;parques nacionais, turismo consciente, visitação, domínio morfoclimático, Caatinga, Amazônico, Atlântico, Cerrado, Araucária, Pradarias
Ciências;Sambaquis;ARcie6_un03an_sambaquis.mp4;Estrutura da Terra;Sequência de imagens com locução explicando o que são os sambaquis, como se formaram, onde se localizam e as informações que eles forncecem sobre populações primitivas do território brasileiro.;sambaqui, vestígio, atividade humana, fogueira, objetos, arqueologia, artefatos, sepultura, ritual
Ciências;Revisão da unidade 3;/cie_revisao6_un3;Estrutura da Terra;Atividades interativas de revisão.;questão,  atividade, exercício, revisão, crosta terrestre, rochas, litosfera
Ciências;Tsunami;ARcie6_un03vt_tsunami;Estrutura da Terra;Animação com locução em inglês e legenda explicando detalhadamente o que são e como se formam os tsunamis.;terremoto, desmoronamento, erupção vulcânica, onda,, vento, sismo
Ciências;Desertificação;ARcie6_un04an_desertificacao.mp4;Solo;Sequência de imagens com locução explicando como ocorre a desertificação e quais são seus principais agentes causadores, assim como o papel da ação humana nesse processo.;solo, preservação, deterioração, erosão, desmatamento, incêndio florestal, pecuária, permeabilidade, compactação, monocultura, reflorestamento, rotação de culturas.
Ciências;Agricultura tradicional;ARcie6_un04an_agricultura.mp4;Solo;Sequência de imagens com locução apresentando algumas das principais práticas da agricultura tradicional, assim como prós e contras de cada uma delas.;técnicas rudimentares, agricultura itinerante, rotação de cultuiras, agricultura irrigada de arroz, prática agrícola
Ciências;Revisão da unidade 4;/cie_revisao6_un4;Solo;Atividades interativas de revisão.;questão, atividade, exercício, revisão, solo, arenoso, argiloso, erosão, siltoso
Ciências;O ciclo da água;ARcie6_un05an_ciclo_agua.mp4;Água;Animação que apresenta as principais etapas do ciclo da água na natureza.;ciclo hidrológico, vapor de água, evaporação, evapotranspitração, estado líquido, estado gasoso, inflitração, água, umidade
Ciências;Revisão da unidade 5;/cie_revisao6_un5;Água;Atividades interativas de revisão.;questão, atividade, exercício, revisão, estados físicos, tratamento de água, hidrosfera, ciclo da água
Ciências;Água doce no Brasil;ARcie6_un06vr_agua_doce.mp4;Água;Reportagem sobre a água doce feita com base em entrevistas com especialistas. São abordados diversos assuntos: distribuição desse recurso na hidrosfera, disponibilidade de água potável nas diferentes regiões do país, importância da conservação dos mananciais, desperdício de água e como evitá-lo.;água  doce, água potável, escassez, poluição, tratamento de água, aquífero, conscientização, manancial, reaproveitamento de água, separação de mistura, desperdício
Ciências;Efeito estufa;ARcie6_un06an_efeito_estufa.mp4;Ar;Animação explicando o efeito estufa e sua importância para a manutenção da vida. Também são mencionados o papel dos gases estufa e as consequências da intensificação desse fenômeno.;temperatura, atmosfera, radiação solar, gases estufa, gás carbônico
Ciências;Revisão da unidade 6;/cie_revisao6_un6;Ar;Atividades interativas de revisão.;questão, atividade, exercício, revisão, efeito estufa, gases, atmosfera, fenômeno atmosférico, aquecimento global
Ciências;Estágios do lançamento de um foguete;/foguete;Ar;Animação interativa que utiliza o exemplo de um lançamento de um satélite acoplado a um foguete para apresentar as características de cada uma das camadas da atmosfera.;atmosfera, exosfera, termosfera, aurora boreal, meteoro, mesosfera, estratosfera, camada de ozônio, troposfera, nuvens, fenômeno meteorológico
Ciências;A Terra no universo;ARcie6_un07in_astronomia_indios.mp4;Astronomia;Animação que apresenta informações básicas sobre a história da compreensão do Sistema Solar, da Via Láctea e do Universo. Além disso, há animações explicando os movimentos de rotação e translação da Terra.;planetas, Via Láctea, Terra, Sol, geocêntrico, heliocêntrico, sistema solar, rotação, translação, satélite natural, Lua, ano bissexto
Ciências;Revisão da unidade 7;/cie_revisao6_un7;Astronomia;Atividades interativas de revisão.;questão, atividade, exercício, revisão, sistema solar, Sol, Terra, Lua, galáxia, rotação, translação
Ciências;Astronomia dos índios brasileiros;/astronomia-indios;Astronomia;Animação que apresenta algumas das principais constelações descritas por povos Guarani, assim como o significado associado a cada uma delas.;constelação, indígena, estações do ano, primavera, verão, outono, inverno, lenda
Ciências;Eclipse lunar;eclipse;Astronomia;Animação com locução em inglês e legenda explicando as fases da Lua e a ocorrência dos eclipses lunares.;eclipse, Lua, fases da Lua, penumbra, umbra
Ciências;Da fabricação à reciclagem;ARcie6_un08an_reciclagem.mp4;Materiais;Vídeo que apresenta o processo de fabricação de garrafas PET e cita alguns pontos positivos desse material, que é 100% reciclável.;reciclagem, materiais, estado físico, transformação, consumo, sustentabilidade, sustentável, poluição
Ciências;Revisão da unidade 8;/cie_revisao6_un8;Materiais;Atividades interativas de revisão.;questão, atividade, exercício, revisão, estado físico, sólido, líquido, gasoso, transformação física, transformação química
Ciências;O problema do lixo;ARcie6_un08vr_lixo.mp4;Materiais;Reportagem sobre resíduos sólidos feita com base em entrevistas a especialistas. São abordados diversos assuntos: a produção de lixo no mundo e no Brasil, as formas de destinação final desse lixo e os impactos ambientais decorrentes de cada uma delas, consumo consciente e a importância da reciclagem.;lixo, poluição, contaminação, resíduo sólido, lixão, aterro sanitário, chorume, consumo responsável, reutilização, sustentabilidade, reciclável
Ciências;Origem da vida;ARcie7_un01an_origem_vida.mp4;Origem da vida;Animação que apresenta duas teorias para a origem da vida na Terra: a formulada por Oparin e Haldane e a da panspermia cósmica.;Terra primitiva, coacervato, Oparin, Haldane, panspermia, aminoácido, processo evolutivo, vida, origem
Ciências;Revisão da unidade 1;/cie_revisao7_un1;Origem da vida;Atividades interativas de revisão.;questão, atividade, exercício, revisão, ser vivo, ciclo de vida, procarionte, eucarionte, teorias
